name,year,price,currency,mileage (km),fuel type,disp (cm3),city,link
Renault Laguna 2.0,2007.0,16000.0,PLN,113000.0,Benzyna,1997.0,Miejsce,https://www.otomoto.pl/oferta/renault-laguna-renault-laguna-3-2-0-140km-ID6DCiBK.html#fdd6a95284
Audi A8 3.0,2004.0,28000.0,PLN,220000.0,Diesel,2967.0,Przysucha,https://www.otomoto.pl/oferta/audi-a8-audi-a8-d3-30tdi-quattro-ideal-kolekcjonerski-stan-full-opcja-ID6DCixK.html#fdd6a95284
Mercedes-Benz Klasa C 220,2007.0,22900.0,PLN,333000.0,Diesel,2148.0,Słupsk,https://www.otomoto.pl/oferta/mercedes-benz-klasa-c-mercedes-benz-c220-cdi-ID6DCifJ.html#fdd6a95284
Audi A6,2010.0,28000.0,PLN,264590.0,Benzyna,1984.0,Łódź,https://www.otomoto.pl/oferta/audi-a6-2-0-tfsi-salon-polska-serwis-aso-skora-xenon-klimatronic-ID6DAuir.html#fdd6a95284
Citroën C5 2.0,2008.0,16000.0,PLN,201781.0,Diesel,1997.0,Zakrzewo,https://www.otomoto.pl/oferta/citroen-c5-citroen-c5-2-0hdi-ID6Dzm60.html#fdd6a95284
BMW Seria 3 330i,2002.0,19900.0,PLN,266000.0,Benzyna+LPG,2979.0,Białystok,https://www.otomoto.pl/oferta/bmw-seria-3-bmw-seria-3-330i-benzyna-lpg-bbs-pioneer-ID6DzlGe.html#fdd6a95284
Škoda Superb 1.8,2009.0,29900.0,PLN,93586.0,Benzyna,1798.0,Bełchatów,https://www.otomoto.pl/oferta/skoda-superb-calkowicie-jak-nowa-skoda-superb-aso-2020-ID6DzBbu.html#fdd6a95284
Seat Exeo,2009.0,24900.0,PLN,126619.0,Benzyna,1781.0,Warszawa,https://www.otomoto.pl/oferta/seat-exeo-darmowa-dostawa-150km-klimatyzacja-automatyczna-ID6DBkfb.html#5e3442dfd8
Škoda RAPID,2013.0,28900.0,PLN,75898.0,Benzyna,1197.0,Warszawa,https://www.otomoto.pl/oferta/skoda-rapid-darmowa-dostawa-klima-hist-serwisowa-i-wlasciciel-ID6DBkem.html#5e3442dfd8
Mercedes-Benz Klasa E 500,2003.0,28000.0,PLN,393902.0,Benzyna,4966.0,Bielsk Podlaski,https://www.otomoto.pl/oferta/mercedes-benz-klasa-e-mercedes-benz-w211-e500-avantgarde-duzy-serwis-czytaj-opis-ID6DCgt4.html#5e3442dfd8
Chevrolet Cruze,2011.0,17900.0,PLN,155440.0,Benzyna,1796.0,Myślenice,https://www.otomoto.pl/oferta/chevrolet-cruze-automat-1-8-benz-niski-przebieg-ID6DCgjo.html#5e3442dfd8
Mercedes-Benz Klasa E,2002.0,17950.0,PLN,291359.0,Diesel,2685.0,Kielce,https://www.otomoto.pl/oferta/mercedes-benz-klasa-e-zadbany-automat-e270-ID6DCg39.html#5e3442dfd8
Citroën C6 2.7,2006.0,19900.0,PLN,310000.0,Diesel,2720.0,Kraków,https://www.otomoto.pl/oferta/citroen-c6-citroen-c6-2-7-hdi-stan-bdb-nowy-silnik-ID6DxhuG.html#5e3442dfd8
Škoda Octavia 1.6,2006.0,17500.0,PLN,80000.0,Benzyna,1595.0,Kobylin,https://www.otomoto.pl/oferta/skoda-octavia-sprzedam-skoda-octavia-ii-ID6Dy2YH.html#5e3442dfd8
Fiat Tipo 1.4,2019.0,24999.0,PLN,27876.0,Benzyna,1368.0,Legnica,https://www.otomoto.pl/oferta/fiat-tipo-1-4-kombi-2019-klima-zamiana-ID6DzgL7.html#5e3442dfd8
BMW Seria 3 328i,2012.0,17900.0,PLN,200000.0,Benzyna,1997.0,Szczerców,https://www.otomoto.pl/oferta/bmw-seria-3-uszkodzona-brak-silnika-ID6DCfHy.html#5e3442dfd8
Honda Accord 2.0,2002.0,15900.0,PLN,280000.0,Benzyna+LPG,1998.0,Sitno,https://www.otomoto.pl/oferta/honda-accord-vii-2-0-lpg-bogata-wersja-ID6DANj6.html#5e3442dfd8
BMW Seria 5,2005.0,23500.0,PLN,244275.0,Benzyna,2497.0,Kalisz,https://www.otomoto.pl/oferta/bmw-seria-5-bmw-e60-2005r-2-5-benzyna-218-km-warto-spojrzec-ID6DBgGR.html#5e3442dfd8
Kia Rio,2015.0,27000.0,PLN,142528.0,Benzyna,1248.0,Piaseczno,https://www.otomoto.pl/oferta/kia-rio-1-25-cvvt-salon-polska-serwis-aso-klima-parktronic-ID6DAqLr.html#5e3442dfd8
